user_id,subject,series_1,series_2,grade,total_periods,present,attendance_percentage
48220,CST202,24,39,A,46,45,87%
48220,CST204,34,33,B+,57,52,87%
48220,CST206,40,24,A+,56,43,84%
48220,EST200,20,27,D,41,40,80%
48220,MAT206,49,32,D,62,47,89%
48220,MCN202,21,25,C+,60,55,98%
34020,CST202,23,39,B,49,34,80%
34020,CST204,44,40,D,51,41,86%
34020,CST206,42,26,B+,42,38,84%
34020,EST200,50,48,B,63,61,100%
34020,MAT206,32,49,D,54,41,96%
34020,MCN202,20,33,S,58,45,91%
34120,CST202,44,44,A,44,39,96%
34120,CST204,48,25,D,69,54,77%
34120,CST206,38,45,A+,48,34,85%
34120,EST200,46,21,B+,63,52,75%
34120,MAT206,49,46,D,70,63,84%
34120,MCN202,35,30,A,58,44,76%
17420,CST202,38,28,B,54,47,78%
17420,CST204,42,34,S,52,40,76%
17420,CST206,26,32,A,58,56,97%
17420,EST200,20,48,S,53,48,88%
17420,MAT206,45,34,C,65,63,87%
17420,MCN202,30,29,D,64,54,84%
23820,CST202,40,36,A,64,54,85%
23820,CST204,37,28,C,41,39,76%
23820,CST206,27,45,D,43,36,89%
23820,EST200,45,34,A+,50,44,82%
23820,MAT206,50,49,A+,69,65,99%
23820,MCN202,39,44,S,52,39,99%
34220,CST202,50,38,A+,69,61,93%
34220,CST204,21,26,A,42,38,80%
34220,CST206,38,48,D,42,41,93%
34220,EST200,49,38,D,56,53,85%
34220,MAT206,38,21,S,49,38,77%
34220,MCN202,46,28,B,41,31,91%
22020,CST202,50,23,A,61,53,81%
22020,CST204,20,30,C,62,56,86%
22020,CST206,46,40,C+,65,54,86%
22020,EST200,30,39,S,45,34,75%
22020,MAT206,39,34,A+,55,40,88%
22020,MCN202,23,41,B,59,48,97%
18420,CST202,36,49,B+,59,49,94%
18420,CST204,39,35,C+,41,32,81%
18420,CST206,26,24,C,65,57,80%
18420,EST200,50,35,S,60,59,87%
18420,MAT206,28,45,S,53,50,96%
18420,MCN202,29,23,B,45,36,77%
18220,CST202,23,47,S,46,32,78%
18220,CST204,21,28,D,48,37,92%
18220,CST206,23,46,C+,47,42,97%
18220,EST200,27,25,S,57,47,82%
18220,MAT206,49,48,A+,65,53,88%
18220,MCN202,44,44,S,40,26,75%
30120,CST202,50,31,D,69,65,77%
30120,CST204,30,48,A,58,57,94%
30120,CST206,30,26,B,51,48,100%
30120,EST200,33,25,S,69,65,95%
30120,MAT206,43,30,A+,62,60,96%
30120,MCN202,22,43,D,53,39,91%
19120,CST202,26,28,A,46,43,83%
19120,CST204,49,21,A+,58,46,94%
19120,CST206,35,50,B+,52,52,81%
19120,EST200,28,42,S,40,30,88%
19120,MAT206,50,34,B+,46,31,78%
19120,MCN202,30,42,C,42,32,77%
34320,CST202,48,26,S,46,37,89%
34320,CST204,31,39,A,61,58,98%
34320,CST206,41,40,B,67,63,80%
34320,EST200,32,46,C+,56,52,77%
34320,MAT206,27,40,B,67,53,96%
34320,MCN202,30,47,B,53,50,87%
32220,CST202,20,33,C,63,61,88%
32220,CST204,39,29,B,68,59,89%
32220,CST206,30,26,B,56,52,81%
32220,EST200,35,28,C,56,55,82%
32220,MAT206,48,49,A+,48,35,94%
32220,MCN202,41,28,A+,65,62,89%
4120,CST202,39,25,D,69,56,86%
4120,CST204,47,48,C+,58,44,98%
4120,CST206,20,35,C,42,38,95%
4120,EST200,43,36,C,43,33,78%
4120,MAT206,36,41,B+,44,33,100%
4120,MCN202,27,42,A+,60,55,78%
34420,CST202,44,45,S,43,42,80%
34420,CST204,33,47,C,41,34,87%
34420,CST206,25,36,B+,60,57,87%
34420,EST200,41,36,A+,56,42,89%
34420,MAT206,24,35,A,61,48,81%
34420,MCN202,21,26,B,40,28,80%
34520,CST202,34,41,D,51,36,93%
34520,CST204,49,33,A+,60,52,78%
34520,CST206,36,45,A,70,65,93%
34520,EST200,43,27,B,65,50,99%
34520,MAT206,21,40,A,50,48,90%
34520,MCN202,36,23,C,59,55,99%
18020,CST202,31,37,C,41,34,91%
18020,CST204,26,31,S,61,47,81%
18020,CST206,26,26,C,55,51,77%
18020,EST200,49,43,B+,56,46,85%
18020,MAT206,28,34,A,53,46,81%
18020,MCN202,28,48,D,49,42,91%
48320,CST202,27,40,C,52,40,80%
48320,CST204,31,20,S,65,61,77%
48320,CST206,40,25,A,51,47,98%
48320,EST200,49,48,A+,65,60,84%
48320,MAT206,48,22,B+,66,63,78%
48320,MCN202,48,47,A,57,57,93%
25920,CST202,27,28,B+,63,57,93%
25920,CST204,37,27,A,42,36,79%
25920,CST206,22,21,S,51,46,82%
25920,EST200,42,44,C,47,41,75%
25920,MAT206,46,28,S,59,48,87%
25920,MCN202,40,32,A,67,54,97%
34620,CST202,44,35,A,67,67,92%
34620,CST204,48,34,C+,55,41,77%
34620,CST206,39,36,A,48,34,96%
34620,EST200,45,49,A+,40,34,81%
34620,MAT206,48,34,A+,68,59,99%
34620,MCN202,29,36,S,68,54,98%
48420,CST202,38,49,D,46,37,81%
48420,CST204,49,28,A+,58,46,96%
48420,CST206,41,37,A,52,51,94%
48420,EST200,35,22,C,68,65,83%
48420,MAT206,37,30,D,55,51,92%
48420,MCN202,35,32,A+,69,58,77%
21220,CST202,38,21,C+,47,42,83%
21220,CST204,28,36,C+,59,44,93%
21220,CST206,26,32,C,64,58,90%
21220,EST200,21,34,D,58,47,87%
21220,MAT206,32,32,B,57,47,78%
21220,MCN202,37,26,B+,53,48,89%
22620,CST202,39,39,C,45,38,76%
22620,CST204,28,39,C,55,40,80%
22620,CST206,49,43,A,47,44,89%
22620,EST200,35,45,C,70,60,83%
22620,MAT206,26,43,D,41,28,76%
22620,MCN202,37,30,A,52,37,77%
26319,CST202,21,22,B+,66,56,98%
26319,CST204,45,30,C,42,27,77%
26319,CST206,20,34,A+,69,60,80%
26319,EST200,26,40,D,48,46,92%
26319,MAT206,20,35,B+,61,52,79%
26319,MCN202,23,39,C+,48,35,99%
34720,CST202,46,45,S,45,31,89%
34720,CST204,33,22,D,47,41,79%
34720,CST206,44,22,S,56,51,76%
34720,EST200,23,43,A,49,44,87%
34720,MAT206,20,21,C+,40,28,78%
34720,MCN202,23,25,C,66,62,79%
34820,CST202,21,45,A+,58,53,77%
34820,CST204,41,46,C,58,45,83%
34820,CST206,31,37,D,64,52,77%
34820,EST200,29,25,C+,66,52,84%
34820,MAT206,23,24,C+,70,63,95%
34820,MCN202,20,34,A,70,59,92%
14320,CST202,42,20,B+,67,53,90%
14320,CST204,46,38,D,40,38,78%
14320,CST206,50,38,D,42,29,99%
14320,EST200,33,34,B,56,50,87%
14320,MAT206,41,32,A,51,38,89%
14320,MCN202,29,46,S,60,46,94%
34920,CST202,30,46,S,49,37,88%
34920,CST204,36,22,C+,58,52,97%
34920,CST206,20,36,S,70,63,88%
34920,EST200,32,46,B+,64,49,97%
34920,MAT206,45,24,A+,51,47,82%
34920,MCN202,24,32,A,42,33,94%
35020,CST202,40,31,C,43,35,95%
35020,CST204,47,25,A+,69,55,94%
35020,CST206,44,48,D,64,54,99%
35020,EST200,35,43,A+,62,54,94%
35020,MAT206,25,33,D,45,30,75%
35020,MCN202,30,42,B,65,53,78%
21920,CST202,42,22,D,54,51,98%
